Error Type,Topic Guid,Message
Warning,b437181d-bc70-4838-b43d-9f1bb744f0cb,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<i>&lt;mydomain&gt;</i> in md file:b437181d-bc70-4838-b43d-9f1bb744f0cb.md total found:0
Warning,b437181d-bc70-4838-b43d-9f1bb744f0cb,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<i>&lt;realmGUID&gt;</i> in md file:b437181d-bc70-4838-b43d-9f1bb744f0cb.md total found:0
Warning,b437181d-bc70-4838-b43d-9f1bb744f0cb,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<i>&lt;SharePointDomain&gt;</i> in md file:b437181d-bc70-4838-b43d-9f1bb744f0cb.md total found:0
Warning,b437181d-bc70-4838-b43d-9f1bb744f0cb,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<i>&lt;app_client_GUID&gt;</i> in md file:b437181d-bc70-4838-b43d-9f1bb744f0cb.md total found:0
Warning,b96f887d-d892-4b1d-b832-a3f61228c5cf,Found a an ol list inside a table in html file:b96f887d-d892-4b1d-b832-a3f61228c5cf.xml
Warning,b96f887d-d892-4b1d-b832-a3f61228c5cf,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>Remplacez la valeur Ida:TenantId par &lt;<i>votredomaine</i> &gt;.onmicrosoft.com. </p> in md file:b96f887d-d892-4b1d-b832-a3f61228c5cf.md total found:0
Warning,b96f887d-d892-4b1d-b832-a3f61228c5cf,Found < > tag Bug 1235997:Support Request: MD conversion issue: not escaped tags causing missing content line:<p>Par exemple- si le compte de votre organisation est someone@&lt;<i>votredomaine</i> &gt;.onmicrosoft.com- &lt;<i>votredomaine</i> &gt;.onmicrosoft.com est la valeur dont vous avez besoin.
</p> in md file:b96f887d-d892-4b1d-b832-a3f61228c5cf.md total found:0
Warning,b96f887d-d892-4b1d-b832-a3f61228c5cf,Fixing missing end table tag in file:b96f887d-d892-4b1d-b832-a3f61228c5cf.md
Warning,b96f887d-d892-4b1d-b832-a3f61228c5cf,Found invalid tables saving file:b96f887d-d892-4b1d-b832-a3f61228c5cf.md
Warning,bc37ff5c-1285-40af-98ae-01286696242d,Found nested table in md file:bc37ff5c-1285-40af-98ae-01286696242d.md
Warning,bc37ff5c-1285-40af-98ae-01286696242d,Fixing missing end table tag in file:bc37ff5c-1285-40af-98ae-01286696242d.md
Warning,bc37ff5c-1285-40af-98ae-01286696242d,Found invalid tables saving file:bc37ff5c-1285-40af-98ae-01286696242d.md
Warning,bde5647a-fff1-4b51-b67b-2139de79ce4a,Video is found in md file:bde5647a-fff1-4b51-b67b-2139de79ce4a.md total found:1
